,Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,Address
0,A01,Metro Center,C01,,RD,,,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,A02,Farragut North,,,RD,,,,38.903192,-77.039766,"{'Street': '1001 Connecticut Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20036'}"
2,A03,Dupont Circle,,,RD,,,,38.909499,-77.04362,"{'Street': '1525 20th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20036'}"
3,A04,Woodley Park-Zoo/Adams Morgan,,,RD,,,,38.924999,-77.052648,"{'Street': '2700 Connecticut Ave., NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20008'}"
4,A05,Cleveland Park,,,RD,,,,38.934703,-77.058226,"{'Street': '3599 Connecticut Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20008'}"
5,A06,Van Ness-UDC,,,RD,,,,38.94362,-77.063511,"{'Street': '4200 Connecticut Ave NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20008'}"
6,A07,Tenleytown-AU,,,RD,,,,38.947808,-77.079615,"{'Street': '4501 Wisconsin Ave NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20016'}"
7,A08,Friendship Heights,,,RD,,,,38.960744,-77.085969,"{'Street': '5337 Wisconsin Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20015'}"
8,A09,Bethesda,,,RD,,,,38.984282,-77.094431,"{'Street': '800 North Ln', 'City': 'Bethesda', 'State': 'MD', 'Zip': '20814'}"
9,A10,Medical Center,,,RD,,,,38.999947,-77.097253,"{'Street': '8810 Rockville Pike', 'City': 'Bethesda', 'State': 'MD', 'Zip': '20814'}"
10,A11,Grosvenor-Strathmore,,,RD,,,,39.029158,-77.10415,"{'Street': '5301 Tuckerman Ln', 'City': 'North Bethesda', 'State': 'MD', 'Zip': '20852'}"
11,A12,North Bethesda,,,RD,,,,39.048043,-77.113131,"{'Street': '10000 Citadel Ave', 'City': 'North Bethesda', 'State': 'MD', 'Zip': '20852'}"
12,A13,Twinbrook,,,RD,,,,39.062359,-77.121113,"{'Street': '1600 Chapman Ave', 'City': 'Rockville', 'State': 'MD', 'Zip': '20852'}"
13,A14,Rockville,,,RD,,,,39.084215,-77.146424,"{'Street': '251 Hungerford Dr', 'City': 'Rockville', 'State': 'MD', 'Zip': '20850'}"
14,A15,Shady Grove,,,RD,,,,39.119819,-77.164921,"{'Street': '215903 Somerville Dr', 'City': 'Rockville', 'State': 'MD', 'Zip': '20855'}"
15,B01,Gallery Pl-Chinatown,F01,,RD,,,,38.89834,-77.021851,"{'Street': '630 H St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
16,B02,Judiciary Square,,,RD,,,,38.896084,-77.016643,"{'Street': '450 F Street NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
17,B03,Union Station,,,RD,,,,38.897723,-77.006745,"{'Street': '701 First St. NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20002'}"
18,B04,Rhode Island Ave-Brentwood,,,RD,,,,38.920741,-76.995984,"{'Street': '2300 Washington Pl NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20018'}"
19,B05,Brookland-CUA,,,RD,,,,38.933234,-76.994544,"{'Street': '801 Michigan Ave NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20017'}"
20,B06,Fort Totten,E06,,RD,,,,38.951777,-77.002174,"{'Street': '550 Galloway St NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20011'}"
21,B07,Takoma,,,RD,,,,38.975532,-77.017834,"{'Street': '327 Cedar St NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20012'}"
22,B08,Silver Spring,,,RD,,,,38.993841,-77.031321,"{'Street': '8400 Colesville Rd', 'City': 'Silver Spring', 'State': 'MD', 'Zip': '20910'}"
23,B09,Forest Glen,,,RD,,,,39.015413,-77.042953,"{'Street': '9730 Georgia Ave', 'City': 'Silver Spring', 'State': 'MD', 'Zip': '20910'}"
24,B10,Wheaton,,,RD,,,,39.038558,-77.051098,"{'Street': '11171 Georgia Ave', 'City': 'Wheaton', 'State': 'MD', 'Zip': '20902'}"
25,B11,Glenmont,,,RD,,,,39.061713,-77.05341,"{'Street': '12601 Georgia Ave', 'City': 'Silver Spring', 'State': 'MD', 'Zip': '20906'}"
26,B35,NoMa-Gallaudet U,,,RD,,,,38.907407,-77.002961,"{'Street': '200 Florida Ave N.E.', 'City': 'Washington', 'State': 'DC', 'Zip': '20002'}"
27,C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
28,C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,"{'Street': '1400 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
29,C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,"{'Street': '900 18th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20006'}"
30,C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,"{'Street': '2301 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20037'}"
31,C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,"{'Street': '1850 N. Moore Street', 'City': 'Arlington', 'State': 'VA', 'Zip': '22209'}"
32,C06,Arlington Cemetery,,,BL,,,,38.884574,-77.063108,"{'Street': '1000 North Memorial Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22211'}"
33,C07,Pentagon,,,BL,YL,,,38.869349,-77.054013,"{'Street': '2 South Rotary Road', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
34,C08,Pentagon City,,,BL,YL,,,38.863045,-77.059507,"{'Street': '1250 South Hayes St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
35,C09,Crystal City,,,BL,YL,,,38.85779,-77.050589,"{'Street': '1750 S. Bell St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
36,C10,Ronald Reagan Washington National Airport,,,BL,YL,,,38.852985,-77.043805,"{'Street': '2400 S. Smith Blvd.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
37,C11,Potomac Yard,,,BL,YL,,,38.83321,-77.04642,"{'Street': '2900 Potomac Greens Drive', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22314'}"
38,C12,Braddock Road,,,BL,YL,,,38.814009,-77.053763,"{'Street': '700 N West St', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22314'}"
39,C13,King St-Old Town,,,BL,YL,,,38.806474,-77.061115,"{'Street': '1900 King Street', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
40,C14,Eisenhower Avenue,,,YL,,,,38.800313,-77.071173,"{'Street': '2400 Eisenhower Ave', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22314'}"
41,C15,Huntington,,,YL,,,,38.793841,-77.075301,"{'Street': '2701 Huntington Ave', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22303'}"
42,D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,"{'Street': '302 12th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
43,D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,"{'Street': '1200 Independence Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
44,D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
45,D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,"{'Street': '401 3rd Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
46,D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,"{'Street': '355 First Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
