Date,Day of Week,Weekday / Saturday / Sunday,Holiday,Mode,Entries Or Boardings
7/13/2024 12:00:00 AM,Sat,Saturday,No,Rail,281859
7/13/2024 12:00:00 AM,Sat,Saturday,No,Bus,262081
7/12/2024 12:00:00 AM,Fri,Weekday,No,Rail,350029
7/12/2024 12:00:00 AM,Fri,Weekday,No,Bus,347383
7/11/2024 12:00:00 AM,Thu,Weekday,No,Rail,420907
7/11/2024 12:00:00 AM,Thu,Weekday,No,Bus,377838
7/10/2024 12:00:00 AM,Wed,Weekday,No,Rail,418040
7/10/2024 12:00:00 AM,Wed,Weekday,No,Bus,361613
7/9/2024 12:00:00 AM,Tue,Weekday,No,Rail,420731
7/9/2024 12:00:00 AM,Tue,Weekday,No,Bus,366309
7/8/2024 12:00:00 AM,Mon,Weekday,No,Rail,358744
7/8/2024 12:00:00 AM,Mon,Weekday,No,Bus,371294
7/7/2024 12:00:00 AM,Sun,Sunday,No,Rail,187176
7/7/2024 12:00:00 AM,Sun,Sunday,No,Bus,209732
7/6/2024 12:00:00 AM,Sat,Saturday,No,Rail,237407
7/6/2024 12:00:00 AM,Sat,Saturday,No,Bus,255401
7/5/2024 12:00:00 AM,Fri,Weekday,No,Rail,312457
7/5/2024 12:00:00 AM,Fri,Weekday,No,Bus,330007
7/4/2024 12:00:00 AM,Thu,Weekday,Yes,Rail,417384
7/4/2024 12:00:00 AM,Thu,Weekday,Yes,Bus,219859
7/3/2024 12:00:00 AM,Wed,Weekday,No,Rail,427541
7/3/2024 12:00:00 AM,Wed,Weekday,No,Bus,397351
7/2/2024 12:00:00 AM,Tue,Weekday,No,Rail,431932
7/2/2024 12:00:00 AM,Tue,Weekday,No,Bus,396332
7/1/2024 12:00:00 AM,Mon,Weekday,No,Rail,378126
7/1/2024 12:00:00 AM,Mon,Weekday,No,Bus,394217
6/30/2024 12:00:00 AM,Sun,Sunday,No,Rail,185729
6/30/2024 12:00:00 AM,Sun,Sunday,No,Bus,212879
6/29/2024 12:00:00 AM,Sat,Saturday,No,Rail,265971
6/29/2024 12:00:00 AM,Sat,Saturday,No,Bus,311213
6/28/2024 12:00:00 AM,Fri,Weekday,No,Rail,374427
6/28/2024 12:00:00 AM,Fri,Weekday,No,Bus,381394
6/27/2024 12:00:00 AM,Thu,Weekday,No,Rail,443381
6/27/2024 12:00:00 AM,Thu,Weekday,No,Bus,396607
6/26/2024 12:00:00 AM,Wed,Weekday,No,Rail,443068
6/26/2024 12:00:00 AM,Wed,Weekday,No,Bus,390691
6/25/2024 12:00:00 AM,Tue,Weekday,No,Rail,437883
6/25/2024 12:00:00 AM,Tue,Weekday,No,Bus,390211
6/24/2024 12:00:00 AM,Mon,Weekday,No,Rail,358226
6/24/2024 12:00:00 AM,Mon,Weekday,No,Bus,373439
6/23/2024 12:00:00 AM,Sun,Sunday,No,Rail,187022
6/23/2024 12:00:00 AM,Sun,Sunday,No,Bus,214207
6/22/2024 12:00:00 AM,Sat,Saturday,No,Rail,274565
6/22/2024 12:00:00 AM,Sat,Saturday,No,Bus,309034
6/21/2024 12:00:00 AM,Fri,Weekday,No,Rail,351843
6/21/2024 12:00:00 AM,Fri,Weekday,No,Bus,361300
6/20/2024 12:00:00 AM,Thu,Weekday,No,Rail,422006
6/20/2024 12:00:00 AM,Thu,Weekday,No,Bus,377042
6/19/2024 12:00:00 AM,Wed,Weekday,Yes,Rail,280155
6/19/2024 12:00:00 AM,Wed,Weekday,Yes,Bus,345340
6/18/2024 12:00:00 AM,Tue,Weekday,No,Rail,449543
6/18/2024 12:00:00 AM,Tue,Weekday,No,Bus,381185
6/17/2024 12:00:00 AM,Mon,Weekday,No,Rail,360903
6/17/2024 12:00:00 AM,Mon,Weekday,No,Bus,371157
6/16/2024 12:00:00 AM,Sun,Sunday,No,Rail,204205
6/16/2024 12:00:00 AM,Sun,Sunday,No,Bus,219505
6/15/2024 12:00:00 AM,Sat,Saturday,No,Rail,282260
6/15/2024 12:00:00 AM,Sat,Saturday,No,Bus,334939
6/14/2024 12:00:00 AM,Fri,Weekday,No,Rail,398629
6/14/2024 12:00:00 AM,Fri,Weekday,No,Bus,390400
