"STATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"US1DCDC0009","2019-05-13",,,,,,,,,
"US1DCDC0009","2019-05-14","0.30",,,,,,,,
"US1DCDC0009","2019-05-15","0.00",,,,,,,,
"US1DCDC0009","2019-05-16","0.00",,,,,,,,
"US1DCDC0009","2019-05-27","0.04",,,,,,,,
"US1DCDC0009","2019-05-28","0.44",,,,,,,,
"US1DCDC0009","2019-05-29","0.00",,,,,,,,
"US1DCDC0009","2019-05-30","0.00",,,,,,,,
"US1DCDC0009","2019-05-31","0.24",,,,,,,,
"US1DCDC0009","2019-06-01","0.00",,,,,,,,
"US1DCDC0009","2019-06-02","0.00",,,,,,,,
"US1DCDC0009","2019-06-03","0.04",,,,,,,,
"US1DCDC0009","2019-06-04","0.00",,,,,,,,
"US1DCDC0009","2019-06-05","0.00",,,,,,,,
"US1DCDC0009","2019-06-06","0.01",,,,,,,,
"US1DCDC0009","2019-06-07","0.00",,,,,,,,
"US1DCDC0009","2019-06-08","0.00",,,,,,,,
"US1DCDC0009","2019-06-09","0.00",,,,,,,,
"US1DCDC0009","2019-06-10","0.19",,,,,,,,
"US1DCDC0009","2019-06-11","0.38",,,,,,,,
"US1DCDC0009","2019-06-12","0.00",,,,,,,,
"US1DCDC0009","2019-06-13","0.67",,,,,,,,
"US1DCDC0009","2019-06-14","0.27",,,,,,,,
"US1DCDC0009","2019-06-15","0.00",,,,,,,,
"US1DCDC0009","2019-06-16","0.00",,,,,,,,
"US1DCDC0009","2019-06-17","0.00",,,,,,,,
"US1DCDC0009","2019-06-18","0.75",,,,,,,,
"US1DCDC0009","2019-06-19","1.00",,,,,,,,
"US1DCDC0009","2019-06-20","0.00",,,,,,,,
"US1DCDC0009","2019-06-21","0.07",,,,,,,,
"US1DCDC0009","2019-06-22","0.00",,,,,,,,
"US1DCDC0009","2019-06-23","0.00",,,,,,,,
"US1DCDC0009","2019-06-24","0.00",,,,,,,,
"US1DCDC0009","2019-06-25","0.29",,,,,,,,
"US1DCDC0009","2019-06-26","0.00",,,,,,,,
"US1DCDC0009","2019-06-27","0.00",,,,,,,,
"US1DCDC0009","2019-06-28","0.03",,,,,,,,
"US1DCDC0009","2019-06-29","0.00",,,,,,,,
"US1DCDC0009","2019-06-30","0.14",,,,,,,,
"US1DCDC0009","2019-07-01","0.00",,,,,,,,
"US1DCDC0009","2019-07-02","0.00",,,,,,,,
"US1DCDC0009","2019-07-03","0.76",,,,,,,,
"US1DCDC0009","2019-07-04","0.00",,,,,,,,
"US1DCDC0009","2019-07-05","0.13",,,,,,,,
"US1DCDC0009","2019-07-06","0.00",,,,,,,,
"US1DCDC0009","2019-07-07","0.91",,,,,,,,
"US1DCDC0009","2019-07-08","0.00",,,,,,,,
"US1DCDC0009","2019-07-09","3.20",,,,,,,,
"US1DCDC0009","2019-07-10","0.00",,,,,,,,
"US1DCDC0009","2019-07-11","0.00",,,,,,,,
"US1DCDC0009","2019-07-12","0.55",,,,,,,,
"US1DCDC0009","2019-07-13","0.00",,,,,,,,
"US1DCDC0009","2019-07-14","0.00",,,,,,,,
"US1DCDC0009","2019-07-15","0.00",,,,,,,,
"US1DCDC0009","2019-07-16","0.00",,,,,,,,
"US1DCDC0009","2019-07-17","0.00",,,,,,,,
"US1DCDC0009","2019-07-18","0.08",,,,,,,,
"US1DCDC0009","2019-07-19","0.00",,,,,,,,
"US1DCDC0009","2019-07-20","0.00",,,,,,,,
"US1DCDC0009","2019-07-21","0.00",,,,,,,,
"US1DCDC0009","2019-07-22","0.00",,,,,,,,
"US1DCDC0009","2019-07-23","0.03",,,,,,,,
"US1DCDC0009","2019-07-24","0.07",,,,,,,,
"US1DCDC0009","2019-07-25","0.63",,,,,,,,
"US1DCDC0009","2019-07-26","0.02",,,,,,,,
"US1DCDC0009","2019-07-27","0.00",,,,,,,,
"US1DCDC0009","2019-07-28","0.00",,,,,,,,
"US1DCDC0009","2019-07-29","0.00",,,,,,,,
"US1DCDC0009","2019-07-30","0.00",,,,,,,,
"US1DCDC0009","2019-07-31","0.00",,,,,,,,
"US1DCDC0009","2019-08-01","0.00",,,,,,,,
"US1DCDC0009","2019-08-03",,,,,,,,,
"US1DCDC0009","2019-08-04","0.00",,,,,,,,
"US1DCDC0009","2019-08-05","0.00",,,,,,,,
"US1DCDC0009","2019-08-06","0.00",,,,,,,,
"US1DCDC0009","2019-08-08","0.97",,,,,,,,
"US1DCDC0009","2019-08-09","0.00",,,,,,,,
"US1DCDC0009","2019-08-10","0.00",,,,,,,,
"US1DCDC0009","2019-08-11","0.00",,,,,,,,
"US1DCDC0009","2019-08-12","0.00",,,,,,,,
"US1DCDC0009","2019-08-13","0.00",,,,,,,,
"US1DCDC0009","2019-08-14","0.15",,,,,,,,
"US1DCDC0009","2019-08-15","0.00",,,,,,,,
"US1DCDC0009","2019-08-16","0.05",,,,,,,,
"US1DCDC0009","2019-08-27","0.00",,,,,,,,
"US1DCDC0009","2019-08-28","0.00",,,,,,,,
"US1DCDC0009","2019-08-29","0.02",,,,,,,,
"US1DCDC0009","2019-08-30","0.00",,,,,,,,
"US1DCDC0009","2019-08-31","0.00",,,,,,,,
"US1DCDC0009","2019-09-01","0.00",,,,,,,,
"US1DCDC0009","2019-09-02","0.00",,,,,,,,
"US1DCDC0009","2019-09-03","0.00",,,,,,,,
"US1DCDC0009","2019-09-20","0.00",,,,,,,,
"US1DCDC0009","2019-09-21","0.00",,,,,,,,
"US1DCDC0009","2019-09-22","0.00",,,,,,,,
"US1DCDC0009","2019-09-23","0.00",,,,,,,,
"US1DCDC0009","2019-09-24","0.00",,,,,,,,
"US1DCDC0009","2019-09-25","0.00",,,,,,,,
"US1DCDC0009","2019-09-26","0.00",,,,,,,,
"US1DCDC0009","2019-09-27","0.00",,,,,,,,
"US1DCDC0009","2019-09-28","0.00",,,,,,,,
"US1DCDC0009","2019-09-29","0.00",,,,,,,,
"US1DCDC0009","2019-09-30","0.00",,,,,,,,
"US1DCDC0009","2019-10-01","0.23",,,,,,,,
"US1DCDC0009","2019-10-02","0.00",,,,,,,,
"US1DCDC0009","2019-10-03","0.00",,,,,,,,
"US1DCDC0009","2019-10-04","0.00",,,,,,,,
"US1DCDC0009","2019-10-05","0.00",,,,,,,,
"US1DCDC0009","2019-10-06","0.00",,,,,,,,
"US1DCDC0009","2019-10-07","0.00",,,,,,,,
"US1DCDC0009","2019-10-08","0.03",,,,,,,,
"US1DCDC0009","2019-10-09","0.07",,,,,,,,
"US1DCDC0009","2019-10-10","0.00",,,,,,,,
"US1DCDC0009","2019-10-11","0.00",,,,,,,,
"US1DCDC0009","2019-10-12","0.00",,,,,,,,
"US1DCDC0009","2019-10-13","0.00",,,,,,,,
"US1DCDC0009","2019-10-14","0.06",,,,,,,,
"US1DCDC0009","2019-10-15","0.00",,,,,,,,
"US1DCDC0009","2019-10-16","0.00",,,,,,,,
"US1DCDC0009","2019-10-17","1.29",,,,,,,,
"US1DCDC0009","2019-10-18","0.00",,,,,,,,
"US1DCDC0009","2019-10-19","0.00",,,,,,,,
"US1DCDC0009","2019-10-20","0.21",,,,,,,,
"US1DCDC0009","2019-10-21","1.44",,,,,,,,
"US1DCDC0009","2019-10-22","0.00",,,,,,,,
"US1DCDC0009","2019-10-23","0.67",,,,,,,,
"US1DCDC0009","2019-10-24","0.00",,,,,,,,
"US1DCDC0009","2019-10-25","0.00",,,,,,,,
"US1DCDC0009","2019-10-26","0.00",,,,,,,,
"US1DCDC0009","2019-10-27","0.46",,,,,,,,
"US1DCDC0009","2019-10-28","0.80",,,,,,,,
"US1DCDC0009","2019-10-29","0.00",,,,,,,,
"US1DCDC0009","2019-10-30","0.00",,,,,,,,
"US1DCDC0009","2019-11-01",,,,,,,,,
"US1DCDC0009","2019-11-06",,,,,,,,,
"US1DCDC0009","2019-11-07","0.00",,,,,,,,
"US1DCDC0009","2019-11-10","0.00",,,,,,,,
"US1DCDC0009","2019-11-11","0.00",,,,,,,,
"US1DCDC0009","2019-11-12","0.09",,,,,,,,
"US1DCDC0009","2019-11-13","0.01",,,,,,,,
"US1DCDC0009","2019-11-14","0.00",,,,,,,,
"US1DCDC0009","2019-11-15","0.00",,,,,,,,
"US1DCDC0009","2019-11-16","0.00",,,,,,,,
"US1DCDC0009","2019-11-17","0.00",,,,,,,,
"US1DCDC0009","2019-11-18","0.00",,,,,,,,
"US1DCDC0009","2019-11-19","0.33",,,,,,,,
"US1DCDC0009","2019-11-20","0.00",,,,,,,,
"US1DCDC0009","2019-11-21","0.00",,,,,,,,
"US1DCDC0009","2019-11-22","0.00",,,,,,,,
"US1DCDC0009","2019-11-23","0.18",,,,,,,,
"US1DCDC0009","2019-11-24","0.70",,,,,,,,
"US1DCDC0009","2019-11-25","0.00",,,,,,,,
"US1DCDC0009","2019-11-26","0.00",,,,,,,,
"US1DCDC0009","2019-11-27","0.02",,,,,,,,
"US1DCDC0009","2019-12-09","0.02",,,,,,,,
"US1DCDC0009","2019-12-10","0.80",,,,,,,,
"US1DCDC0009","2019-12-11","0.19","0.0","0.0",,,,,,
"US1DCDC0009","2019-12-12","0.00",,,,,,,,
"US1DCDC0009","2019-12-13","0.00",,,,,,,,
"US1DCDC0009","2019-12-15",,,,,,,,,
"US1DCDC0009","2019-12-16","0.15",,,,,,,,
"US1DCDC0009","2019-12-17","0.42",,,,,,,,
"US1DCDC0009","2019-12-18","0.06",,,,,,,,
"US1DCDC0009","2019-12-19","0.00",,,,,,,,
"US1DCDC0009","2020-01-24","0.00",,,,,,,,
"US1DCDC0009","2020-01-31","0.00",,,,,,,,
"US1DCDC0009","2020-03-02","0.00",,,,,,,,
"US1DCDC0009","2020-03-03","0.11",,,,,,,,
"US1DCDC0009","2020-03-04","0.08",,,,,,,,
"US1DCDC0009","2020-03-05","0.00",,,,,,,,
"US1DCDC0009","2020-03-06","0.00",,,,,,,,
"US1DCDC0009","2020-03-18","0.00",,,,,,,,
"US1DCDC0009","2020-03-19","0.46",,,,,,,,
"US1DCDC0009","2020-03-20","0.00",,,,,,,,
"US1DCDC0009","2020-03-21","0.12",,,,,,,,
"US1DCDC0009","2020-03-22","0.00",,,,,,,,
"US1DCDC0009","2020-03-23","0.16",,,,,,,,
"US1DCDC0009","2020-03-24","0.22",,,,,,,,
"US1DCDC0009","2020-03-25","0.09",,,,,,,,
"US1DCDC0009","2020-03-26","0.19",,,,,,,,
"US1DCDC0009","2020-03-27","0.00",,,,,,,,
"US1DCDC0009","2020-03-28","0.34",,,,,,,,
"US1DCDC0009","2020-03-29","0.13",,,,,,,,
"US1DCDC0009","2020-04-05","0.00",,,,,,,,
